id;base_currency;target_currency;source_exchange;target_exchange;opportunity_percentage
1;Homenick;Pound against empty;driver Rustic Classical;online Israel;17247
2;corporis;channels;violet West;second proctor coulomb;813
3;azure;Northeast Chrysler Cheese;female;Paradigm orange;129
4;female Baby Kip;bypassing Soft infer;blue;Human Engineer;23752
5;Hryvnia;ouch;Borders;mesh;25832
6;questioning Passenger than;fast;Future Cronin;Non;27581
7;white Tandem;sport Agent Northeast;cold Specialist invoice;Lukas;25068
8;Officer Bespoke;reintermediate;Program relationships;Planner Technician matrix;23512
9;demineralize payment male;Recumbent;Cambridgeshire envisioneer;Nepalese reintermediate Home;4815
10;withdrawal concerning lux;blah;Lev female;Recumbent Plastic Future;10580
