id;base_currency;target_currency;source_exchange;target_exchange
1;Balboa;software Synergized;Northwest fossilize Southwest;copying World
2;Northwest Convertible Plastic;Grove connect;morph;Missouri card
3;Configuration Hybrid;West;Buckinghamshire;Islands jubilantly
4;male Response;Metal;Bedfordshire software;Electric
5;SUV;assumenda;damaged;Supervisor parsing
6;Shirt Surinam sensor;Classical;Sleek;Account
7;website groupware Wagon;Cisgender;Cotton South;Account Metal Taka
8;monitor straddle Kevin;Southeast female Electric;envisioneer iterate;Northeast pfft haptic
9;Tennessine;Russian;relationships;Representative Total
10;Bespoke;District sane;repurpose;Cambridgeshire Licensed Gasoline
